component;target;action;comp_map;cat_map;code;spec;median;medmad_tau
mod_wiki;course_module;viewed;Wiki;Starting;1;;0 days 00:00:43;0 days 00:01:22
mod_wiki;page;viewed;Wiki;Starting;1;;0 days 00:00:36;0 days 00:01:06
mod_wiki;page_diff;viewed;Wiki;Starting;1;;0 days 00:00:26;0 days 00:00:39
mod_wiki;page_history;viewed;Wiki;Starting;1;;0 days 00:00:10;0 days 00:00:15
mod_wiki;page_version;viewed;Wiki;Starting;1;;0 days 00:00:23;0 days 00:00:36
mod_workshop;assessable;uploaded;Workshop;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_workshop;course_module;viewed;Workshop;Starting;1;;0 days 00:00:32;0 days 00:01:00
mod_workshop;phase;switched;Workshop;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_workshop;submission;created;Workshop;Ending;1;;0 days 00:00:00;0 days 00:00:00
mod_workshop;submission;updated;Workshop;Ending;1;;0 days 00:00:00;0 days 00:00:00
mod_workshop;submission;viewed;Workshop;Starting;1;;0 days 00:03:18;0 days 00:06:33
mod_yulinc;course_module;viewed;yulinc;Starting;1;;0 days 00:04:53;0 days 00:09:43
